# r1_0,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,y1_0,y1_1,y1_2,y1_3,y1_4,y1_5,y1_6,y2_0,y2_1,y2_2,y2_3,y2_4,y2_5,y2_6
2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,-4.388199999999999878e-01,-7.675999999999999490e-01,-1.098500000000000032e-01,-1.159999999999999920e+00,-6.481299999999999839e-01,-1.259100000000000108e+00,-9.957200000000000495e-01,2.841499999999999915e+00,-1.532999999999999918e-01,9.569699999999999873e-01,-1.599900000000000100e+00,-2.711300000000000043e+00,-1.183400000000000007e+00,-1.048799999999999955e+00,1.951600000000000001e+00,-6.305299999999999794e-02,1.319299999999999917e+00,-2.086099999999999899e-01,-1.818000000000000060e+00,-5.266600000000000170e-01,-1.645799999999999930e+00
2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,-7.675999999999999490e-01,-1.098500000000000032e-01,-1.159999999999999920e+00,-6.481299999999999839e-01,-1.259100000000000108e+00,-9.957200000000000495e-01,-4.626299999999999857e-01,-1.532999999999999918e-01,9.569699999999999873e-01,-1.599900000000000100e+00,-2.711300000000000043e+00,-1.183400000000000007e+00,-1.048799999999999955e+00,-2.148400000000000087e+00,-6.305299999999999794e-02,1.319299999999999917e+00,-2.086099999999999899e-01,-1.818000000000000060e+00,-5.266600000000000170e-01,-1.645799999999999930e+00,-1.508000000000000007e+00
1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,-1.098500000000000032e-01,-1.159999999999999920e+00,-6.481299999999999839e-01,-1.259100000000000108e+00,-9.957200000000000495e-01,-4.626299999999999857e-01,-3.656900000000000150e-01,9.569699999999999873e-01,-1.599900000000000100e+00,-2.711300000000000043e+00,-1.183400000000000007e+00,-1.048799999999999955e+00,-2.148400000000000087e+00,3.032299999999999995e-01,1.319299999999999917e+00,-2.086099999999999899e-01,-1.818000000000000060e+00,-5.266600000000000170e-01,-1.645799999999999930e+00,-1.508000000000000007e+00,-3.553799999999999737e-01
-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,-1.159999999999999920e+00,-6.481299999999999839e-01,-1.259100000000000108e+00,-9.957200000000000495e-01,-4.626299999999999857e-01,-3.656900000000000150e-01,2.865800000000000125e+00,-1.599900000000000100e+00,-2.711300000000000043e+00,-1.183400000000000007e+00,-1.048799999999999955e+00,-2.148400000000000087e+00,3.032299999999999995e-01,-8.839900000000000535e-02,-2.086099999999999899e-01,-1.818000000000000060e+00,-5.266600000000000170e-01,-1.645799999999999930e+00,-1.508000000000000007e+00,-3.553799999999999737e-01,6.598299999999999998e-02
-8.585800000000000098e-01,6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,-6.481299999999999839e-01,-1.259100000000000108e+00,-9.957200000000000495e-01,-4.626299999999999857e-01,-3.656900000000000150e-01,2.865800000000000125e+00,5.104300000000000503e-01,-2.711300000000000043e+00,-1.183400000000000007e+00,-1.048799999999999955e+00,-2.148400000000000087e+00,3.032299999999999995e-01,-8.839900000000000535e-02,3.222100000000000186e+00,-1.818000000000000060e+00,-5.266600000000000170e-01,-1.645799999999999930e+00,-1.508000000000000007e+00,-3.553799999999999737e-01,6.598299999999999998e-02,3.158399999999999874e+00
6.282499999999999751e-01,-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,-1.259100000000000108e+00,-9.957200000000000495e-01,-4.626299999999999857e-01,-3.656900000000000150e-01,2.865800000000000125e+00,5.104300000000000503e-01,-1.709100000000000064e+00,-1.183400000000000007e+00,-1.048799999999999955e+00,-2.148400000000000087e+00,3.032299999999999995e-01,-8.839900000000000535e-02,3.222100000000000186e+00,-1.399299999999999988e+00,-5.266600000000000170e-01,-1.645799999999999930e+00,-1.508000000000000007e+00,-3.553799999999999737e-01,6.598299999999999998e-02,3.158399999999999874e+00,-1.031400000000000095e+00
-1.296399999999999997e+00,-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,-1.830900000000000027e-01,-9.957200000000000495e-01,-4.626299999999999857e-01,-3.656900000000000150e-01,2.865800000000000125e+00,5.104300000000000503e-01,-1.709100000000000064e+00,-7.881000000000000227e-01,-1.048799999999999955e+00,-2.148400000000000087e+00,3.032299999999999995e-01,-8.839900000000000535e-02,3.222100000000000186e+00,-1.399299999999999988e+00,-4.294799999999999729e-01,-1.645799999999999930e+00,-1.508000000000000007e+00,-3.553799999999999737e-01,6.598299999999999998e-02,3.158399999999999874e+00,-1.031400000000000095e+00,-6.961100000000000065e-01
-4.695199999999999929e-01,4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,-1.830900000000000027e-01,8.461200000000000665e-02,-4.626299999999999857e-01,-3.656900000000000150e-01,2.865800000000000125e+00,5.104300000000000503e-01,-1.709100000000000064e+00,-7.881000000000000227e-01,-8.717799999999999994e-01,-2.148400000000000087e+00,3.032299999999999995e-01,-8.839900000000000535e-02,3.222100000000000186e+00,-1.399299999999999988e+00,-4.294799999999999729e-01,-1.337499999999999911e+00,-1.508000000000000007e+00,-3.553799999999999737e-01,6.598299999999999998e-02,3.158399999999999874e+00,-1.031400000000000095e+00,-6.961100000000000065e-01,-6.235300000000000287e-01
4.020500000000000185e-01,1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,-1.830900000000000027e-01,8.461200000000000665e-02,2.050899999999999945e-01,-3.656900000000000150e-01,2.865800000000000125e+00,5.104300000000000503e-01,-1.709100000000000064e+00,-7.881000000000000227e-01,-8.717799999999999994e-01,7.628700000000000481e-01,3.032299999999999995e-01,-8.839900000000000535e-02,3.222100000000000186e+00,-1.399299999999999988e+00,-4.294799999999999729e-01,-1.337499999999999911e+00,-7.782099999999999573e-01,-3.553799999999999737e-01,6.598299999999999998e-02,3.158399999999999874e+00,-1.031400000000000095e+00,-6.961100000000000065e-01,-6.235300000000000287e-01,-7.158499999999999863e-01
1.129099999999999993e+00,-4.457699999999999996e-01,4.055799999999999961e-01,-1.830900000000000027e-01,8.461200000000000665e-02,2.050899999999999945e-01,-1.057500000000000107e+00,2.865800000000000125e+00,5.104300000000000503e-01,-1.709100000000000064e+00,-7.881000000000000227e-01,-8.717799999999999994e-01,7.628700000000000481e-01,2.726799999999999780e-01,-8.839900000000000535e-02,3.222100000000000186e+00,-1.399299999999999988e+00,-4.294799999999999729e-01,-1.337499999999999911e+00,-7.782099999999999573e-01,5.035699999999999621e-01,6.598299999999999998e-02,3.158399999999999874e+00,-1.031400000000000095e+00,-6.961100000000000065e-01,-6.235300000000000287e-01,-7.158499999999999863e-01,5.767900000000000249e-01
