# r1_0,r1_1,r2_0,r2_1,y1_0,y1_1,y2_0,y2_1
4.141900000000000026e-01,-9.778099999999999570e-01,-1.139000000000000012e+00,5.934399999999999675e-01,1.002799999999999914e+00,-1.486799999999999899e+00,1.669599999999999973e+00,-2.115600000000000147e+00
-9.778099999999999570e-01,-1.021500000000000075e+00,5.934399999999999675e-01,-6.337500000000000355e-01,-1.486799999999999899e+00,3.889299999999999979e-01,-2.115600000000000147e+00,7.824999999999999734e-01
-1.021500000000000075e+00,3.176899999999999724e-01,-6.337500000000000355e-01,-9.260199999999999543e-01,3.889299999999999979e-01,-8.119899999999999896e-01,7.824999999999999734e-01,-1.640200000000000102e+00
3.176899999999999724e-01,1.516100000000000003e+00,-9.260199999999999543e-01,1.227999999999999980e+00,-8.119899999999999896e-01,6.930199999999999694e-01,-1.640200000000000102e+00,6.336500000000000465e-01
1.516100000000000003e+00,7.494300000000000406e-01,1.227999999999999980e+00,4.550100000000000255e-01,6.930199999999999694e-01,1.717999999999999972e+00,6.336500000000000465e-01,1.941699999999999982e+00
7.494300000000000406e-01,-5.077000000000000401e-01,4.550100000000000255e-01,-6.308000000000000274e-01,1.717999999999999972e+00,-7.148499999999999854e-01,1.941699999999999982e+00,-1.433500000000000052e-01
-5.077000000000000401e-01,8.852999999999999758e-01,-6.308000000000000274e-01,-1.398900000000000032e+00,-7.148499999999999854e-01,-1.429599999999999982e+00,-1.433500000000000052e-01,-4.713700000000000112e-01
8.852999999999999758e-01,-2.480900000000000050e-01,-1.398900000000000032e+00,-3.817499999999999782e-01,-1.429599999999999982e+00,-9.683500000000000441e-01,-4.713700000000000112e-01,-9.552100000000000035e-01
-2.480900000000000050e-01,-7.262499999999999512e-01,-3.817499999999999782e-01,1.746399999999999952e+00,-9.683500000000000441e-01,-1.558400000000000007e+00,-9.552100000000000035e-01,-6.549700000000000522e-01
-7.262499999999999512e-01,-4.450399999999999912e-01,1.746399999999999952e+00,-1.241600000000000065e-01,-1.558400000000000007e+00,1.165300000000000002e+00,-6.549700000000000522e-01,1.051700000000000079e+00
