# r1_0,r1_1,r1_2,r2_0,r2_1,r2_2,y1_0,y1_1,y1_2,y2_0,y2_1,y2_2
-9.840400000000000535e-02,4.633600000000000219e-02,-3.129900000000000043e-02,-9.840400000000000535e-02,4.633600000000000219e-02,-3.129900000000000043e-02,1.589000000000000135e-01,-4.448599999999999603e-03,3.247499999999999831e-01,8.622399999999999509e-02,-1.099200000000000038e-01,2.478599999999999970e-01
4.633600000000000219e-02,-3.129900000000000043e-02,-8.089499999999999469e-02,4.633600000000000219e-02,-3.129900000000000043e-02,-8.089499999999999469e-02,-4.448599999999999603e-03,3.247499999999999831e-01,4.629899999999999988e-02,-1.099200000000000038e-01,2.478599999999999970e-01,-7.237799999999999789e-02
-3.129900000000000043e-02,-8.089499999999999469e-02,-7.335199999999999498e-01,-3.129900000000000043e-02,-8.089499999999999469e-02,-7.335199999999999498e-01,3.247499999999999831e-01,4.629899999999999988e-02,6.544999999999999429e-02,2.478599999999999970e-01,-7.237799999999999789e-02,-2.001799999999999968e-01
-8.089499999999999469e-02,-7.335199999999999498e-01,-3.300299999999999935e-03,-8.089499999999999469e-02,-7.335199999999999498e-01,-3.300299999999999935e-03,4.629899999999999988e-02,6.544999999999999429e-02,-9.184900000000000286e-01,-7.237799999999999789e-02,-2.001799999999999968e-01,-9.548699999999999966e-01
-7.335199999999999498e-01,-3.300299999999999935e-03,-1.194299999999999917e+00,-7.335199999999999498e-01,-3.300299999999999935e-03,-1.194299999999999917e+00,6.544999999999999429e-02,-9.184900000000000286e-01,4.224700000000000122e-01,-2.001799999999999968e-01,-9.548699999999999966e-01,1.128099999999999936e-01
-3.300299999999999935e-03,-1.194299999999999917e+00,-7.481499999999999817e-01,-3.300299999999999935e-03,-1.194299999999999917e+00,-7.481499999999999817e-01,-9.184900000000000286e-01,4.224700000000000122e-01,-1.736299999999999955e+00,-9.548699999999999966e-01,1.128099999999999936e-01,-2.107099999999999973e+00
-1.194299999999999917e+00,-7.481499999999999817e-01,8.075100000000000333e-02,-1.194299999999999917e+00,-7.481499999999999817e-01,8.075100000000000333e-02,4.224700000000000122e-01,-1.736299999999999955e+00,-1.980099999999999916e-01,1.128099999999999936e-01,-2.107099999999999973e+00,-3.409999999999999837e-02
-7.481499999999999817e-01,8.075100000000000333e-02,5.391200000000000436e-01,-7.481499999999999817e-01,8.075100000000000333e-02,5.391200000000000436e-01,-1.736299999999999955e+00,-1.980099999999999916e-01,2.720799999999999885e-01,-2.107099999999999973e+00,-3.409999999999999837e-02,2.935200000000000031e-01
8.075100000000000333e-02,5.391200000000000436e-01,2.381299999999999972e+00,8.075100000000000333e-02,5.391200000000000436e-01,2.381299999999999972e+00,-1.980099999999999916e-01,2.720799999999999885e-01,1.034699999999999953e+00,-3.409999999999999837e-02,2.935200000000000031e-01,1.628500000000000059e+00
5.391200000000000436e-01,2.381299999999999972e+00,8.963600000000000456e-01,5.391200000000000436e-01,2.381299999999999972e+00,8.963600000000000456e-01,2.720799999999999885e-01,1.034699999999999953e+00,3.303500000000000103e+00,2.935200000000000031e-01,1.628500000000000059e+00,3.394600000000000062e+00
2.381299999999999972e+00,8.963600000000000456e-01,2.657100000000000017e-01,2.381299999999999972e+00,8.963600000000000456e-01,2.657100000000000017e-01,1.034699999999999953e+00,3.303500000000000103e+00,3.881399999999999850e-01,1.628500000000000059e+00,3.394600000000000062e+00,1.408800000000000052e-01
8.963600000000000456e-01,2.657100000000000017e-01,1.095399999999999929e+00,8.963600000000000456e-01,2.657100000000000017e-01,1.095399999999999929e+00,3.303500000000000103e+00,3.881399999999999850e-01,3.971999999999999975e-01,3.394600000000000062e+00,1.408800000000000052e-01,9.326600000000000446e-01
2.657100000000000017e-01,1.095399999999999929e+00,2.958000000000000074e-01,2.657100000000000017e-01,1.095399999999999929e+00,2.958000000000000074e-01,3.881399999999999850e-01,3.971999999999999975e-01,9.684000000000000385e-01,1.408800000000000052e-01,9.326600000000000446e-01,1.188499999999999890e+00
1.095399999999999929e+00,2.958000000000000074e-01,-4.731400000000000050e-01,1.095399999999999929e+00,2.958000000000000074e-01,-4.731400000000000050e-01,3.971999999999999975e-01,9.684000000000000385e-01,-3.342899999999999761e-01,9.326600000000000446e-01,1.188499999999999890e+00,-4.180099999999999927e-01
2.958000000000000074e-01,-4.731400000000000050e-01,-3.909500000000000197e-01,2.958000000000000074e-01,-4.731400000000000050e-01,-3.909500000000000197e-01,9.684000000000000385e-01,-3.342899999999999761e-01,-9.541600000000000081e-01,1.188499999999999890e+00,-4.180099999999999927e-01,-8.394800000000000040e-01
-4.731400000000000050e-01,-3.909500000000000197e-01,3.051800000000000068e-01,-4.731400000000000050e-01,-3.909500000000000197e-01,3.051800000000000068e-01,-3.342899999999999761e-01,-9.541600000000000081e-01,-7.551799999999999624e-01,-4.180099999999999927e-01,-8.394800000000000040e-01,-4.278100000000000236e-01
-3.909500000000000197e-01,3.051800000000000068e-01,-1.550199999999999911e-01,-3.909500000000000197e-01,3.051800000000000068e-01,-1.550199999999999911e-01,-9.541600000000000081e-01,-7.551799999999999624e-01,2.377100000000000046e-01,-8.394800000000000040e-01,-4.278100000000000236e-01,3.161700000000000066e-01
3.051800000000000068e-01,-1.550199999999999911e-01,-7.993500000000000050e-01,3.051800000000000068e-01,-1.550199999999999911e-01,-7.993500000000000050e-01,-7.551799999999999624e-01,2.377100000000000046e-01,-5.582200000000000495e-01,-4.278100000000000236e-01,3.161700000000000066e-01,-8.263800000000000034e-01
-1.550199999999999911e-01,-7.993500000000000050e-01,1.000299999999999967e+00,-1.550199999999999911e-01,-7.993500000000000050e-01,1.000299999999999967e+00,2.377100000000000046e-01,-5.582200000000000495e-01,-1.016799999999999926e+00,3.161700000000000066e-01,-8.263800000000000034e-01,-6.024000000000000465e-01
-7.993500000000000050e-01,1.000299999999999967e+00,-1.362599999999999922e-01,-7.993500000000000050e-01,1.000299999999999967e+00,-1.362599999999999922e-01,-5.582200000000000495e-01,-1.016799999999999926e+00,1.588600000000000012e+00,-8.263800000000000034e-01,-6.024000000000000465e-01,1.640700000000000047e+00
1.000299999999999967e+00,-1.362599999999999922e-01,-1.038200000000000012e+00,1.000299999999999967e+00,-1.362599999999999922e-01,-1.038200000000000012e+00,-1.016799999999999926e+00,1.588600000000000012e+00,-8.047199999999999909e-01,-6.024000000000000465e-01,1.640700000000000047e+00,-1.360100000000000087e+00
-1.362599999999999922e-01,-1.038200000000000012e+00,-4.294800000000000006e-02,-1.362599999999999922e-01,-1.038200000000000012e+00,-4.294800000000000006e-02,1.588600000000000012e+00,-8.047199999999999909e-01,-1.003200000000000092e+00,1.640700000000000047e+00,-1.360100000000000087e+00,-8.570600000000000440e-01
-1.038200000000000012e+00,-4.294800000000000006e-02,8.676500000000000323e-01,-1.038200000000000012e+00,-4.294800000000000006e-02,8.676500000000000323e-01,-8.047199999999999909e-01,-1.003200000000000092e+00,1.309800000000000131e-01,-1.360100000000000087e+00,-8.570600000000000440e-01,4.873600000000000154e-01
-4.294800000000000006e-02,8.676500000000000323e-01,2.164299999999999891e+00,-4.294800000000000006e-02,8.676500000000000323e-01,2.164299999999999891e+00,-1.003200000000000092e+00,1.309800000000000131e-01,1.143199999999999994e+00,-8.570600000000000440e-01,4.873600000000000154e-01,1.736299999999999955e+00
8.676500000000000323e-01,2.164299999999999891e+00,-1.525800000000000045e+00,8.676500000000000323e-01,2.164299999999999891e+00,-1.525800000000000045e+00,1.309800000000000131e-01,1.143199999999999994e+00,2.750500000000000167e+00,4.873600000000000154e-01,1.736299999999999955e+00,2.115000000000000213e+00
2.164299999999999891e+00,-1.525800000000000045e+00,4.798899999999999832e-01,2.164299999999999891e+00,-1.525800000000000045e+00,4.798899999999999832e-01,1.143199999999999994e+00,2.750500000000000167e+00,-2.944599999999999884e+00,1.736299999999999955e+00,2.115000000000000213e+00,-3.012900000000000134e+00
-1.525800000000000045e+00,4.798899999999999832e-01,5.401099999999999790e-01,-1.525800000000000045e+00,4.798899999999999832e-01,5.401099999999999790e-01,2.750500000000000167e+00,-2.944599999999999884e+00,1.677699999999999969e+00,2.115000000000000213e+00,-3.012900000000000134e+00,2.374499999999999833e+00
4.798899999999999832e-01,5.401099999999999790e-01,7.527000000000000357e-02,4.798899999999999832e-01,5.401099999999999790e-01,7.527000000000000357e-02,-2.944599999999999884e+00,1.677699999999999969e+00,-3.865999999999999992e-01,-3.012900000000000134e+00,2.374499999999999833e+00,-5.989999999999999769e-01
