# r1_0,r1_1,r1_2,r1_3,r1_4,r2_0,r2_1,r2_2,r2_3,r2_4,y1_0,y1_1,y1_2,y1_3,y1_4,y2_0,y2_1,y2_2,y2_3,y2_4
-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,6.862099999999999866e-01,-6.774799999999999711e-01,-1.230599999999999916e+00,-5.775700000000000278e-01,1.459200000000000053e+00,4.240599999999999925e-01,-9.312500000000000222e-01,-1.760199999999999987e+00,-1.220499999999999918e+00,3.966199999999999726e-01
-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,-6.774799999999999711e-01,-1.230599999999999916e+00,-5.775700000000000278e-01,1.459200000000000053e+00,-3.593899999999999872e-01,-9.312500000000000222e-01,-1.760199999999999987e+00,-1.220499999999999918e+00,3.966199999999999726e-01,-9.273700000000000276e-01
-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,-1.283199999999999896e+00,2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,-1.230599999999999916e+00,-5.775700000000000278e-01,1.459200000000000053e+00,-3.593899999999999872e-01,4.172100000000000253e-01,-1.760199999999999987e+00,-1.220499999999999918e+00,3.966199999999999726e-01,-9.273700000000000276e-01,-4.384100000000000219e-01
2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,2.853199999999999834e-02,-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,-5.775700000000000278e-01,1.459200000000000053e+00,-3.593899999999999872e-01,4.172100000000000253e-01,-5.549199999999999688e-01,-1.220499999999999918e+00,3.966199999999999726e-01,-9.273700000000000276e-01,-4.384100000000000219e-01,-1.060300000000000020e+00
-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,-4.105199999999999960e-01,-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,1.459200000000000053e+00,-3.593899999999999872e-01,4.172100000000000253e-01,-5.549199999999999688e-01,1.553600000000000092e+00,3.966199999999999726e-01,-9.273700000000000276e-01,-4.384100000000000219e-01,-1.060300000000000020e+00,8.506899999999999462e-01
-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,-5.219500000000000250e-01,-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,-3.593899999999999872e-01,4.172100000000000253e-01,-5.549199999999999688e-01,1.553600000000000092e+00,4.976999999999999758e-01,-9.273700000000000276e-01,-4.384100000000000219e-01,-1.060300000000000020e+00,8.506899999999999462e-01,8.642400000000000082e-01
-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,-9.252799999999999914e-01,6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,4.172100000000000253e-01,-5.549199999999999688e-01,1.553600000000000092e+00,4.976999999999999758e-01,3.237400000000000055e+00,-4.384100000000000219e-01,-1.060300000000000020e+00,8.506899999999999462e-01,8.642400000000000082e-01,3.497199999999999864e+00
6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,6.246999999999999775e-02,2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,-5.549199999999999688e-01,1.553600000000000092e+00,4.976999999999999758e-01,3.237400000000000055e+00,-7.137299999999999756e-01,-1.060300000000000020e+00,8.506899999999999462e-01,8.642400000000000082e-01,3.497199999999999864e+00,2.112199999999999911e-01
2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,2.892799999999999816e-01,2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,1.553600000000000092e+00,4.976999999999999758e-01,3.237400000000000055e+00,-7.137299999999999756e-01,-1.621599999999999930e+00,8.506899999999999462e-01,8.642400000000000082e-01,3.497199999999999864e+00,2.112199999999999911e-01,-9.521600000000000064e-01
2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,2.121999999999999886e+00,1.165999999999999925e+00,-5.693399999999999572e-01,-8.585800000000000098e-01,6.282499999999999751e-01,4.976999999999999758e-01,3.237400000000000055e+00,-7.137299999999999756e-01,-1.621599999999999930e+00,-1.194299999999999917e+00,8.642400000000000082e-01,3.497199999999999864e+00,2.112199999999999911e-01,-9.521600000000000064e-01,-7.779099999999999904e-01
