# r1_0,r1_1,r1_2,r1_3,r1_4,r2_0,r2_1,r2_2,r2_3,r2_4,y1_0,y1_1,y1_2,y1_3,y1_4,y2_0,y2_1,y2_2,y2_3,y2_4
-4.488099999999999729e-02,-7.989399999999999835e-01,-7.651700000000000168e-01,8.617299999999999960e-01,-5.622499999999999720e-02,-1.290100000000000025e+00,9.637099999999999556e-01,6.525499999999999634e-01,-4.108399999999999830e-01,-1.769600000000000062e+00,2.246100000000000207e+00,-1.390900000000000025e+00,1.421200000000000019e+00,3.849400000000000044e-01,1.575499999999999901e+00,9.531699999999999617e-01,-1.278499999999999970e+00,1.323700000000000099e+00,-4.011799999999999811e-01,7.922900000000000498e-01
-7.989399999999999835e-01,-7.651700000000000168e-01,8.617299999999999960e-01,-5.622499999999999720e-02,5.134800000000000475e-01,9.637099999999999556e-01,6.525499999999999634e-01,-4.108399999999999830e-01,-1.769600000000000062e+00,4.394799999999999818e-01,-1.390900000000000025e+00,1.421200000000000019e+00,3.849400000000000044e-01,1.575499999999999901e+00,-2.196400000000000130e+00,-1.278499999999999970e+00,1.323700000000000099e+00,-4.011799999999999811e-01,7.922900000000000498e-01,-1.881899999999999906e+00
-7.651700000000000168e-01,8.617299999999999960e-01,-5.622499999999999720e-02,5.134800000000000475e-01,3.966799999999999771e-01,6.525499999999999634e-01,-4.108399999999999830e-01,-1.769600000000000062e+00,4.394799999999999818e-01,4.951800000000000090e-01,1.421200000000000019e+00,3.849400000000000044e-01,1.575499999999999901e+00,-2.196400000000000130e+00,1.651899999999999924e+00,1.323700000000000099e+00,-4.011799999999999811e-01,7.922900000000000498e-01,-1.881899999999999906e+00,1.797900000000000054e+00
8.617299999999999960e-01,-5.622499999999999720e-02,5.134800000000000475e-01,3.966799999999999771e-01,7.562200000000000033e-01,-4.108399999999999830e-01,-1.769600000000000062e+00,4.394799999999999818e-01,4.951800000000000090e-01,6.846200000000000063e-01,3.849400000000000044e-01,1.575499999999999901e+00,-2.196400000000000130e+00,1.651899999999999924e+00,-5.471300000000000052e-01,-4.011799999999999811e-01,7.922900000000000498e-01,-1.881899999999999906e+00,1.797900000000000054e+00,-2.467399999999999871e-01
-5.622499999999999720e-02,5.134800000000000475e-01,3.966799999999999771e-01,7.562200000000000033e-01,4.004900000000000126e-01,-1.769600000000000062e+00,4.394799999999999818e-01,4.951800000000000090e-01,6.846200000000000063e-01,-3.958499999999999797e-01,1.575499999999999901e+00,-2.196400000000000130e+00,1.651899999999999924e+00,-5.471300000000000052e-01,1.097099999999999964e+00,7.922900000000000498e-01,-1.881899999999999906e+00,1.797900000000000054e+00,-2.467399999999999871e-01,1.416700000000000070e+00
5.134800000000000475e-01,3.966799999999999771e-01,7.562200000000000033e-01,4.004900000000000126e-01,-1.341399999999999926e+00,4.394799999999999818e-01,4.951800000000000090e-01,6.846200000000000063e-01,-3.958499999999999797e-01,4.901699999999999807e-02,-2.196400000000000130e+00,1.651899999999999924e+00,-5.471300000000000052e-01,1.097099999999999964e+00,-1.372999999999999998e+00,-1.881899999999999906e+00,1.797900000000000054e+00,-2.467399999999999871e-01,1.416700000000000070e+00,-8.267400000000000304e-01
3.966799999999999771e-01,7.562200000000000033e-01,4.004900000000000126e-01,-1.341399999999999926e+00,3.750399999999999845e-01,4.951800000000000090e-01,6.846200000000000063e-01,-3.958499999999999797e-01,4.901699999999999807e-02,-3.721700000000000008e-01,1.651899999999999924e+00,-5.471300000000000052e-01,1.097099999999999964e+00,-1.372999999999999998e+00,-1.133999999999999897e+00,1.797900000000000054e+00,-2.467399999999999871e-01,1.416700000000000070e+00,-8.267400000000000304e-01,-5.292200000000000237e-01
7.562200000000000033e-01,4.004900000000000126e-01,-1.341399999999999926e+00,3.750399999999999845e-01,1.125199999999999978e+00,6.846200000000000063e-01,-3.958499999999999797e-01,4.901699999999999807e-02,-3.721700000000000008e-01,2.569600000000000217e-01,-5.471300000000000052e-01,1.097099999999999964e+00,-1.372999999999999998e+00,-1.133999999999999897e+00,6.251499999999999835e-01,-2.467399999999999871e-01,1.416700000000000070e+00,-8.267400000000000304e-01,-5.292200000000000237e-01,-8.695999999999999563e-02
4.004900000000000126e-01,-1.341399999999999926e+00,3.750399999999999845e-01,1.125199999999999978e+00,7.286399999999999544e-01,-3.958499999999999797e-01,4.901699999999999807e-02,-3.721700000000000008e-01,2.569600000000000217e-01,8.107299999999999507e-01,1.097099999999999964e+00,-1.372999999999999998e+00,-1.133999999999999897e+00,6.251499999999999835e-01,5.987799999999999789e-01,1.416700000000000070e+00,-8.267400000000000304e-01,-5.292200000000000237e-01,-8.695999999999999563e-02,9.742600000000000149e-01
-1.341399999999999926e+00,3.750399999999999845e-01,1.125199999999999978e+00,7.286399999999999544e-01,-2.377499999999999947e+00,4.901699999999999807e-02,-3.721700000000000008e-01,2.569600000000000217e-01,8.107299999999999507e-01,-3.401399999999999979e-01,-1.372999999999999998e+00,-1.133999999999999897e+00,6.251499999999999835e-01,5.987799999999999789e-01,2.300399999999999945e-01,-8.267400000000000304e-01,-5.292200000000000237e-01,-8.695999999999999563e-02,9.742600000000000149e-01,7.906199999999999894e-01
3.750399999999999845e-01,1.125199999999999978e+00,7.286399999999999544e-01,-2.377499999999999947e+00,-2.737800000000000233e-01,-3.721700000000000008e-01,2.569600000000000217e-01,8.107299999999999507e-01,-3.401399999999999979e-01,-1.318599999999999994e+00,-1.133999999999999897e+00,6.251499999999999835e-01,5.987799999999999789e-01,2.300399999999999945e-01,-3.007899999999999796e+00,-5.292200000000000237e-01,-8.695999999999999563e-02,9.742600000000000149e-01,7.906199999999999894e-01,-2.400399999999999867e+00
1.125199999999999978e+00,7.286399999999999544e-01,-2.377499999999999947e+00,-2.737800000000000233e-01,-3.229400000000000048e-01,2.569600000000000217e-01,8.107299999999999507e-01,-3.401399999999999979e-01,-1.318599999999999994e+00,-2.109199999999999964e+00,6.251499999999999835e-01,5.987799999999999789e-01,2.300399999999999945e-01,-3.007899999999999796e+00,8.318600000000000438e-01,-8.695999999999999563e-02,9.742600000000000149e-01,7.906199999999999894e-01,-2.400399999999999867e+00,-4.441899999999999737e-01
7.286399999999999544e-01,-2.377499999999999947e+00,-2.737800000000000233e-01,-3.229400000000000048e-01,3.179899999999999949e-01,8.107299999999999507e-01,-3.401399999999999979e-01,-1.318599999999999994e+00,-2.109199999999999964e+00,3.065599999999999992e-01,5.987799999999999789e-01,2.300399999999999945e-01,-3.007899999999999796e+00,8.318600000000000438e-01,-2.280299999999999994e+00,9.742600000000000149e-01,7.906199999999999894e-01,-2.400399999999999867e+00,-4.441899999999999737e-01,-2.322000000000000064e+00
-2.377499999999999947e+00,-2.737800000000000233e-01,-3.229400000000000048e-01,3.179899999999999949e-01,-5.111700000000000133e-01,-3.401399999999999979e-01,-1.318599999999999994e+00,-2.109199999999999964e+00,3.065599999999999992e-01,-7.888199999999999656e-01,2.300399999999999945e-01,-3.007899999999999796e+00,8.318600000000000438e-01,-2.280299999999999994e+00,1.735200000000000076e+00,7.906199999999999894e-01,-2.400399999999999867e+00,-4.441899999999999737e-01,-2.322000000000000064e+00,1.469600000000000017e+00
-2.737800000000000233e-01,-3.229400000000000048e-01,3.179899999999999949e-01,-5.111700000000000133e-01,-2.041299999999999799e-03,-1.318599999999999994e+00,-2.109199999999999964e+00,3.065599999999999992e-01,-7.888199999999999656e-01,-5.037099999999999911e-01,-3.007899999999999796e+00,8.318600000000000438e-01,-2.280299999999999994e+00,1.735200000000000076e+00,-2.091800000000000104e+00,-2.400399999999999867e+00,-4.441899999999999737e-01,-2.322000000000000064e+00,1.469600000000000017e+00,-2.090100000000000069e+00
-3.229400000000000048e-01,3.179899999999999949e-01,-5.111700000000000133e-01,-2.041299999999999799e-03,1.606500000000000039e+00,-2.109199999999999964e+00,3.065599999999999992e-01,-7.888199999999999656e-01,-5.037099999999999911e-01,1.553199999999999914e+00,8.318600000000000438e-01,-2.280299999999999994e+00,1.735200000000000076e+00,-2.091800000000000104e+00,7.356300000000000061e-01,-4.441899999999999737e-01,-2.322000000000000064e+00,1.469600000000000017e+00,-2.090100000000000069e+00,5.008899999999999464e-01
3.179899999999999949e-01,-5.111700000000000133e-01,-2.041299999999999799e-03,1.606500000000000039e+00,8.476500000000000146e-01,3.065599999999999992e-01,-7.888199999999999656e-01,-5.037099999999999911e-01,1.553199999999999914e+00,3.207999999999999741e-01,-2.280299999999999994e+00,1.735200000000000076e+00,-2.091800000000000104e+00,7.356300000000000061e-01,2.232099999999999973e+00,-2.322000000000000064e+00,1.469600000000000017e+00,-2.090100000000000069e+00,5.008899999999999464e-01,2.225200000000000067e+00
-5.111700000000000133e-01,-2.041299999999999799e-03,1.606500000000000039e+00,8.476500000000000146e-01,2.681000000000000050e-01,-7.888199999999999656e-01,-5.037099999999999911e-01,1.553199999999999914e+00,3.207999999999999741e-01,-1.926799999999999902e-01,1.735200000000000076e+00,-2.091800000000000104e+00,7.356300000000000061e-01,2.232099999999999973e+00,-8.130500000000000504e-01,1.469600000000000017e+00,-2.090100000000000069e+00,5.008899999999999464e-01,2.225200000000000067e+00,-7.372299999999999687e-02
